 1,  1,  2,  7,  6, 26, 27, 28, 29
 2,  2,  3,  8,  7, 30, 31, 32, 27
 3,  3,  4,  9,  8, 33, 34, 35, 31
 4,  4,  5, 10,  9, 36, 37, 38, 34
 5,  6,  7, 12, 11, 28, 39, 40, 41
 6,  7,  8, 13, 12, 32, 42, 43, 39
 7,  8,  9, 14, 13, 35, 44, 45, 42
 8,  9, 10, 15, 14, 38, 46, 47, 44
 9, 11, 12, 17, 16, 40, 48, 49, 50
10, 12, 13, 18, 17, 43, 51, 52, 48
11, 13, 14, 19, 18, 45, 53, 54, 51
12, 14, 15, 20, 19, 47, 55, 56, 53
13, 16, 17, 22, 21, 49, 57, 58, 59
14, 17, 18, 23, 22, 52, 60, 61, 57
15, 18, 19, 24, 23, 54, 62, 63, 60
16, 19, 20, 25, 24, 56, 64, 65, 62
