 1,   1,   2,  11,  10,  82,  83,  84,  85
 2,   2,   3,  12,  11,  86,  87,  88,  83
 3,   3,   4,  13,  12,  89,  90,  91,  87
 4,   4,   5,  14,  13,  92,  93,  94,  90
 5,   5,   6,  15,  14,  95,  96,  97,  93
 6,   6,   7,  16,  15,  98,  99, 100,  96
 7,   7,   8,  17,  16, 101, 102, 103,  99
 8,   8,   9,  18,  17, 104, 105, 106, 102
 9,  10,  11,  20,  19,  84, 107, 108, 109
10,  11,  12,  21,  20,  88, 110, 111, 107
11,  12,  13,  22,  21,  91, 112, 113, 110
12,  13,  14,  23,  22,  94, 114, 115, 112
13,  14,  15,  24,  23,  97, 116, 117, 114
14,  15,  16,  25,  24, 100, 118, 119, 116
15,  16,  17,  26,  25, 103, 120, 121, 118
16,  17,  18,  27,  26, 106, 122, 123, 120
17,  19,  20,  29,  28, 108, 124, 125, 126
18,  20,  21,  30,  29, 111, 127, 128, 124
19,  21,  22,  31,  30, 113, 129, 130, 127
20,  22,  23,  32,  31, 115, 131, 132, 129
21,  23,  24,  33,  32, 117, 133, 134, 131
22,  24,  25,  34,  33, 119, 135, 136, 133
23,  25,  26,  35,  34, 121, 137, 138, 135
24,  26,  27,  36,  35, 123, 139, 140, 137
25,  28,  29,  38,  37, 125, 141, 142, 143
26,  29,  30,  39,  38, 128, 144, 145, 141
27,  30,  31,  40,  39, 130, 146, 147, 144
28,  31,  32,  41,  40, 132, 148, 149, 146
29,  32,  33,  42,  41, 134, 150, 151, 148
30,  33,  34,  43,  42, 136, 152, 153, 150
31,  34,  35,  44,  43, 138, 154, 155, 152
32,  35,  36,  45,  44, 140, 156, 157, 154
33,  37,  38,  47,  46, 142, 158, 159, 160
34,  38,  39,  48,  47, 145, 161, 162, 158
35,  39,  40,  49,  48, 147, 163, 164, 161
36,  40,  41,  50,  49, 149, 165, 166, 163
37,  41,  42,  51,  50, 151, 167, 168, 165
38,  42,  43,  52,  51, 153, 169, 170, 167
39,  43,  44,  53,  52, 155, 171, 172, 169
40,  44,  45,  54,  53, 157, 173, 174, 171
41,  46,  47,  56,  55, 159, 175, 176, 177
42,  47,  48,  57,  56, 162, 178, 179, 175
43,  48,  49,  58,  57, 164, 180, 181, 178
44,  49,  50,  59,  58, 166, 182, 183, 180
45,  50,  51,  60,  59, 168, 184, 185, 182
46,  51,  52,  61,  60, 170, 186, 187, 184
47,  52,  53,  62,  61, 172, 188, 189, 186
48,  53,  54,  63,  62, 174, 190, 191, 188
49,  55,  56,  65,  64, 176, 192, 193, 194
50,  56,  57,  66,  65, 179, 195, 196, 192
51,  57,  58,  67,  66, 181, 197, 198, 195
52,  58,  59,  68,  67, 183, 199, 200, 197
53,  59,  60,  69,  68, 185, 201, 202, 199
54,  60,  61,  70,  69, 187, 203, 204, 201
55,  61,  62,  71,  70, 189, 205, 206, 203
56,  62,  63,  72,  71, 191, 207, 208, 205
57,  64,  65,  74,  73, 193, 209, 210, 211
58,  65,  66,  75,  74, 196, 212, 213, 209
59,  66,  67,  76,  75, 198, 214, 215, 212
60,  67,  68,  77,  76, 200, 216, 217, 214
61,  68,  69,  78,  77, 202, 218, 219, 216
62,  69,  70,  79,  78, 204, 220, 221, 218
63,  70,  71,  80,  79, 206, 222, 223, 220
64,  71,  72,  81,  80, 208, 224, 225, 222
